Cpd,CATS2D_09_DA_me,C-012_me,VE1sign_D/Dt_bt,F08[C-O]_me,C-012_at,VE2_D/Dt_me,SpMAD_AEA(dm)_bt,S-109_bt,GATS3p_at,HyWi_B(s)_bt,Active
1731,0.115384615,-0.230769231,-0.12412963,1.153846154,0,0.021115385,-0.040873016,-0.53968254,0.011294118,-0.500767196,-1
855,-0.796766744,-0.064665127,-0.03632963,-0.069284065,-0.080357143,-0.007775982,0.039126984,0.46031746,0.088930804,0.119232804,1
1982,-0.884615385,-0.230769231,-0.05332963,0.153846154,0,-0.008884615,-0.030873016,-0.53968254,-0.067705882,-0.230767196,-1
1253,0.115384615,-0.230769231,-0.03232963,0.153846154,0,0.010115385,-0.110873016,-0.53968254,-0.076705882,-0.590767196,-1
1013,-0.796766744,-0.064665127,-0.18232963,-1.069284065,-0.080357143,-0.002775982,0.009126984,0.46031746,-0.063069196,0.289232804,1
1719,-0.884615385,-0.230769231,0.19067037,0.153846154,0,0.008115385,-0.080873016,-0.53968254,-0.147705882,-0.660767196,-1
1074,0.203233256,-0.064665127,0.07267037,0.930715935,-0.080357143,-0.011775982,-0.010873016,-0.53968254,-0.031069196,-0.080767196,1
259,-0.796766744,-0.064665127,-0.280181609,-1.069284065,-0.080357143,0.016224018,-0.004367816,-0.333333333,0.178930804,-0.264942529,-1
1460,-0.884615385,-0.230769231,-0.19702963,0.153846154,0,0.038115385,-0.150873016,-0.53968254,0.101294118,-1.100767196,-1
1698,-2.166666667,-0.333333333,-0.20547963,-1,-0.080357143,-0.006,0.049126984,-0.53968254,0.055930804,0.169232804,-1
1062,-0.796766744,-0.064665127,0.14067037,-1.069284065,-0.080357143,0.022224018,0.029126984,-0.53968254,0.034930804,-0.260767196,-1
952,-0.796766744,-0.064665127,-0.13522963,-1.069284065,-0.080357143,-0.003775982,0.029126984,0.46031746,-0.083069196,0.099232804,1
713,-0.796766744,-0.064665127,-0.19592963,-1.069284065,-0.080357143,-0.005775982,0.029126984,0.46031746,-0.153069196,0.139232804,1
146,-0.796766744,-0.064665127,-0.169181609,-3.069284065,-0.080357143,0.068224018,-0.094367816,-0.333333333,-0.025069196,-0.964942529,-1
1814,0.115384615,-0.230769231,-0.10532963,8.153846154,0,-0.010884615,-0.040873016,-0.53968254,0.111294118,-0.000767196,-1
307,2.203233256,-0.064665127,-0.363581609,-1.069284065,-0.080357143,0.005224018,-0.114367816,-0.333333333,0.138930804,0.385057471,-1
970,2.203233256,-0.064665127,0.09867037,2.930715935,-0.080357143,-0.003775982,-0.050873016,-0.53968254,-0.007069196,-0.350767196,1
1936,-0.884615385,-0.230769231,0.08167037,4.153846154,0,-0.009884615,-0.010873016,-0.53968254,0.051294118,-0.080767196,-1
484,-0.796766744,-0.064665127,-0.18882963,-2.069284065,-0.080357143,-0.002775982,-0.000873016,0.46031746,-0.062069196,-0.120767196,1
1145,0.115384615,-0.230769231,0.19267037,1.153846154,0,0.011115385,-0.060873016,-0.53968254,0.101294118,-0.410767196,-1
1164,0.115384615,-0.230769231,0.04167037,0.153846154,0,0.031115385,-0.040873016,-0.53968254,0.041294118,-0.810767196,-1
1713,-1.166666667,-0.333333333,0.25867037,2,-0.080357143,0.016,-0.080873016,-0.53968254,0.067930804,-0.220767196,-1
100,-0.796766744,-0.064665127,0.382818391,2.930715935,-0.080357143,0.018224018,0.005632184,0.666666667,-0.016069196,-0.114942529,1
694,-0.796766744,-0.064665127,-0.21432963,-3.069284065,-0.080357143,0.044224018,-0.110873016,-0.53968254,0.108930804,-1.160767196,-1
2002,-0.884615385,-0.230769231,-0.06332963,-0.846153846,0,0.022115385,0.019126984,-0.53968254,0.071294118,-0.750767196,-1
343,-0.796766744,-0.064665127,-0.236181609,-2.069284065,-0.080357143,0.096224018,-0.074367816,-0.333333333,0.208930804,-0.654942529,-1
1620,-0.796766744,-0.064665127,-0.21390963,0.930715935,-0.080357143,0.000224018,-0.050873016,-0.53968254,0.038930804,-0.130767196,-1
187,-0.796766744,-0.064665127,-0.079181609,0.930715935,-0.080357143,0.005224018,-0.014367816,-0.333333333,0.378930804,0.285057471,-1
914,-0.796766744,-0.064665127,-0.19402963,-2.069284065,-0.080357143,0.003224018,0.079126984,0.46031746,0.108930804,-0.100767196,1
