Cpd,CATS2D_09_DA_me,C-012_me,VE1sign_D/Dt_bt,F08[C-O]_me,C-012_at,VE2_D/Dt_me,SpMAD_AEA(dm)_bt,S-109_bt,GATS3p_at,HyWi_B(s)_bt
492,-0.796766744,-0.064665127,-0.04332963,0.930715935,-0.080357143,0.021224018,0.049126984,-0.53968254,0.050930804,-0.500767196
455,1.203233256,-0.064665127,0.10567037,-0.069284065,-0.080357143,-0.018775982,0.009126984,-0.53968254,-0.036069196,0.099232804
1776,1.115384615,-0.230769231,0.24667037,7.153846154,0,-0.024884615,-0.030873016,-0.53968254,-0.039705882,0.119232804
49,0.203233256,-0.064665127,0.064818391,1.930715935,-0.080357143,0.026224018,-0.074367816,-0.333333333,0.108930804,-0.404942529
1369,-0.884615385,-0.230769231,-0.18072963,1.153846154,-0.080357143,-0.014884615,-0.030873016,-0.53968254,-0.008069196,-0.460767196
523,-0.796766744,-0.064665127,-0.01732963,-2.069284065,-0.080357143,0.050224018,-0.050873016,-0.53968254,0.178930804,-0.630767196
2034,-0.884615385,-0.230769231,0.12567037,0.153846154,0,0.013115385,-0.030873016,-0.53968254,0.201294118,-0.640767196
170,0.203233256,-0.064665127,0.444818391,0.930715935,-0.080357143,0.023224018,-0.004367816,0.666666667,-0.049069196,-0.194942529
1787,-0.884615385,-0.230769231,0.18467037,4.153846154,-0.080357143,-0.014884615,-0.000873016,-0.53968254,0.228930804,-0.310767196
376,0.833333333,-0.333333333,-0.181181609,-4,-0.080357143,0.032,-0.034367816,-0.333333333,0.074930804,-0.404942529
1577,-2.166666667,-0.333333333,-0.219181609,-4,-0.080357143,0.032,0.065632184,-0.333333333,0.108930804,-0.164942529
1642,0.203233256,-0.064665127,0.03567037,1.930715935,-0.080357143,0.007224018,-0.050873016,-0.53968254,0.118930804,-0.480767196
337,0.203233256,-0.064665127,0.163818391,2.930715935,-0.080357143,0.010224018,-0.054367816,-0.333333333,-0.032069196,-0.004942529
493,-0.796766744,-0.064665127,-0.04532963,-2.069284065,-0.080357143,0.004224018,0.039126984,0.46031746,-0.127069196,-0.070767196
719,-0.796766744,-0.064665127,-0.05832963,-2.069284065,-0.080357143,0.001224018,0.049126984,0.46031746,-0.153069196,0.199232804
284,-0.796766744,-0.064665127,0.384818391,1.930715935,-0.080357143,0.024224018,0.025632184,-0.333333333,-0.072069196,-0.074942529
948,-0.796766744,-0.064665127,-0.06432963,-3.069284065,-0.080357143,0.113224018,-0.080873016,-0.53968254,0.148930804,-1.170767196
286,-0.796766744,-0.064665127,0.004818391,-0.069284065,-0.080357143,0.015224018,-0.024367816,-0.333333333,0.138930804,0.005057471
1664,0.833333333,-0.333333333,-0.20802963,0,-0.080357143,0.02,-0.000873016,-0.53968254,0.012930804,-0.490767196
